Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,CB Rank (Funding Round),component--field-formatter href 3,,link-accent 5,link-accent 7
Series A - Credo,https://www.crunchbase.com/organization/credo-ea1a,Credo,Series A,"$1,500,000 ",26-Jun-15,Early Stage Venture,�,Yes,Credo is a UAE based Technology Services company with global initiatives.,Information Technology,�,"$6,499,998 ",Early Stage Venture,2,Celesta Capital,1,"239,905",http://www.credots.com/,Dubai,Dubai,
Seed Round - Royal Madina,https://www.crunchbase.com/organization/royal-madina,Royal Madina,Seed,�,1-Jan-13,Seed,�,Yes,Health Care Management & Health Tourism Services,Health Care,Less than $1M,"$69,009 ",Seed,2,,�,"240,412",http://www.royalmadina.com/,Dubai,Dubai,
Seed Round - Service My Car,https://www.crunchbase.com/organization/service-my-car,Service My Car,Seed,�,9-Mar-21,Seed,�,Yes,Service My Car is the tech-enabled car-servicing platform that has created a better way to help car owners. Ok,Automotive,�,"$10,000,000 ",Seed,2,,�,"240,513",https://servicemycar.com/,Dubai,Dubai,
Seed Round - Vezeeta,https://www.crunchbase.com/organization/vezeeta,Vezeeta,Seed,"$1,600,000 ",1-Apr-12,Seed,�,Yes,Vezeeta is a digital healthcare booking platform and practice management software.,Health Care,$10M to $50M,"$71,498,880 ",Late Stage Venture,10,,�,"240,549",https://www.vezeeta.com/,Dubai,Dubai,
Seed Round - Denarii Cash,https://www.crunchbase.com/organization/denarii-cash,Denarii Cash,Seed,"$100,000 ",26-Apr-19,Seed,�,Yes,Denarii Cash is a money transfer app.,Apps,�,"$100,000 ",M&A,2,,2,"240,579",https://denarii.cash/en,Dubai,Dubai,
Series A - Hala,https://www.crunchbase.com/organization/join-hala,Hala,Series A,"$5,000,000 ",29-Aug-21,Early Stage Venture,�,Yes,"Hala is building the Middle East's first full stack insurance company, with a focus on car and home insurance",Insurance,$1M to $10M,"$6,800,000 ",Early Stage Venture,3,Entr�e Capital,6,"241,466",https://www.joinhala.com/,Abu Dhabi,Abu Dhabi,
Seed Round - GrowValley,https://www.crunchbase.com/organization/grow-valley,GrowValley,Seed,"$200,000 ",1-Sep-19,Seed,"$1,500,000 ",Yes,"GrowValley is a UAE based Startup Studio & Fund that invents, Invests and launches game changing startups with influential partnerships.",Angel Investment,�,"$1,700,000 ",Seed,3,Jazeer Jamal,1,"241,691",https://www.growvalley.co/,Dubai,Dubai,
Seed Round - Eureeca,https://www.crunchbase.com/organization/eureeca,Eureeca,Seed,"$1,500,000 ",31-Dec-13,Seed,�,Yes,Eureeca is a globally regulated Equity Crowdfunding platform allowing �the crowd� to invest in SMEs alongside Angel/Institutional investors.,Crowdfunding,$10M to $50M,"$6,550,000 ",Seed,7,,�,"241,872",http://www.eureeca.com/,Dubai,Dubai,
Series A - Tarjama,https://www.crunchbase.com/organization/tarjama-and-ureed,Tarjama,Series A,"$5,000,000 ",18-Mar-19,Early Stage Venture,�,Yes,Cultural and linguistic experts,,$1M to $10M,"$5,000,000 ",�,2,Anova Investments,1,"241,946",https://www.tarjama.com/,Abu Dhabi,Abu Dhabi,
Venture Round - Alef Technology,https://www.crunchbase.com/organization/alef-technology,Alef Technology,Venture - Series Unknown,"$3,000,000 ",1-Aug-17,�,�,Yes,Alef Technology provides satellite communication and power solutions to corporate customers.,Information and Communications Technology (ICT),�,"$3,000,000 ",�,1,Infrontier,1,"243,303",https://www.aleftechnology.com/,Dubai,Dubai,
Seed Round - OfficeRock,https://www.crunchbase.com/organization/officerock,OfficeRock,Seed,�,15-Jun-17,Seed,�,Yes,OfficeRock.com was founded in 2011 catering to all businesses small to large offering a true one-stop supply solution!,E-Commerce,�,"$1,300,000 ",�,4,,3,"445,752",http://www.officerock.com/,Dubai,Dubai,
Private Equity Round - Channel VAS,https://www.crunchbase.com/organization/channelvas,Channel VAS,Private Equity,"$54,000,000 ",26-Sep-19,Private Equity,�,Yes,"The premium Fintech provider of Mobile Financial Services, Airtime Credit & Airtime Advance Services, Handset Loans and Big Data Analytics",Financial Services,$1M to $10M,"$104,000,000 ",Private Equity,3,Development Partners International,1,"446,968",http://channelvas.com/,Dubai,Dubai,
Series C - Vezeeta,https://www.crunchbase.com/organization/vezeeta,Vezeeta,Series C,"$1,000,000 ",7-Dec-18,Late Stage Venture,�,Yes,Vezeeta is a digital healthcare booking platform and practice management software.,Health Care,$10M to $50M,"$71,498,880 ",Late Stage Venture,10,International Finance Corporation,1,"447,201",https://www.vezeeta.com/,Dubai,Dubai,
Pre Seed Round - Tarabut Gateway,https://www.crunchbase.com/organization/tarabut-gateway,Tarabut Gateway,Pre-Seed,�,26-Nov-20,Seed,�,Yes,MENA�s first and largest regulated Open Banking platform (AISP & PISP) that connects a regional network of banks and FinTechs via API.,Banking,$1M to $10M,"$25,000,000 ",Seed,4,DIFC FinTech Hive,1,"447,685",https://www.tarabutgateway.com/,Dubai,Dubai,
Seed Round - Enhance Ventures,https://www.crunchbase.com/organization/enhance,Enhance Ventures,Seed,"$1,500,000 ",22-Feb-18,Seed,�,Yes,"Enhance is a venture builder that develops web and mobile-enabled businesses for the Middle East, North Africa, Pakistan and Turkey.",Internet,$1M to $10M,"$1,500,000 ",Early Stage Venture,2,,3,"448,348",http://www.enhance.online/,Dubai,Dubai,
Pre Seed Round - Welcome to the World,https://www.crunchbase.com/organization/welcome-to-the-world,Welcome to the World,Pre-Seed,"$114,500 ",1-May-20,Seed,"$1,089,176 ",Yes,A global tech startup that inspires people to explore & travel the world,,�,"$264,000 ",Seed,2,,�,"449,469",https://www.welcometotheworld.com/,Dubai,Dubai,
Seed Round - invygo,https://www.crunchbase.com/organization/invygo,invygo,Seed,"$1,000,000 ",26-Nov-19,Seed,�,Yes,invygo app-based car subscription company that gives customers an access to dealership verified cars.,Car Sharing,�,"$4,275,000 ",Seed,4,Class 5 Global,5,"449,623",https://invygo.com/,Dubai,Dubai,
Seed Round - HashMove,https://www.crunchbase.com/organization/hashmove,HashMove,Seed,"$2,000,000 ",1-Dec-17,Seed,�,Yes,A multi-modal smart logistics platform,Logistics,�,"$2,000,000 ",Seed,1,Confidential .,1,"449,907",https://www.hashmove.com/,Dubai,Dubai,
Seed Round - Badia Farms,https://www.crunchbase.com/organization/badia-farms,Badia Farms,Seed,"$4,000,000 ",1-May-16,Seed,�,Yes,The first commercial high tech vertical farm in the GCC to produce and sell fresh fruits & vegetables year round,AgTech,�,"$4,000,000 ",Seed,1,,�,"452,842",https://www.badiafarms.com/,Dubai,Dubai,
Series A - OneTwoSmile,https://www.crunchbase.com/organization/onetwosmile,OneTwoSmile,Series A,�,1-Jan-18,Early Stage Venture,�,Yes,OneTwoSmile is a direct-to-consumer clear aligner solution with remote medical supervision that is democratizing access to straight teeth,Dental,�,�,Early Stage Venture,1,Silicon Badia,2,"453,240",http://www.onetwosmile.com/,Dubai,Dubai,
Venture Round - Eventtus,https://www.crunchbase.com/organization/eventtus,Eventtus,Venture - Series Unknown,"$450,000 ",13-Apr-20,�,�,Yes,"Eventtus is an engagement platform to manage events, sell tickets and build an interactive event app in few minutes.",Events,$1M to $10M,"$2,625,000 ",M&A,6,Algebra Ventures,3,"453,907",http://www.eventtus.com/,Dubai,Dubai,
Venture Round - Kitab Sawti,https://www.crunchbase.com/organization/kitab-sawti,Kitab Sawti,Venture - Series Unknown,"SEK11,500,000",4-Sep-17,�,�,Yes,Kitab Sawti is an Arabic audio entertainment service offering audiobooks and podcasts through mobile apps.,Apps,$1M to $10M,"$8,544,915 ",M&A,4,,5,"454,889",http://www.kitabsawti.com/,Dubai,Dubai,
Funding Round - Grovvth,https://www.crunchbase.com/organization/grovvth-digital-ventures,Grovvth,Funding Round,"$200,000 ",1-Jan-19,�,"$500,000 ",Yes,A holistic online platform to manage Startups & Startup Ecosystems.,Consulting,�,"$200,000 ",�,1,Jazeer Jamal,1,"454,992",https://www.grovvth.com/,Dubai,Dubai,
Venture Round - Laimoon.com,https://www.crunchbase.com/organization/laimoon-com,Laimoon.com,Venture - Series Unknown,"$400,000 ",1-Aug-12,�,�,Yes,"Laimoon is a discovery platform that helps individuals find courses, jobs, and professional development advice.",Career Planning,Less than $1M,"$400,000 ",�,2,,1,"455,003",http://www.laimoon.com/,Dubai,Dubai,
Seed Round - UrbanBuz,https://www.crunchbase.com/organization/urbanbuz,UrbanBuz,Seed,�,10-Dec-13,Seed,�,Yes,"UrbanBuz is AI powered customer data experience platform, enabling B2C businesses to deliver highly personalized customer experience",Analytics,�,�,Seed,1,,�,"455,021",http://urbanbuz.com/,Dubai,Dubai,
Seed Round - ProTenders,https://www.crunchbase.com/organization/protenders,ProTenders,Seed,"$1,000,000 ",1-Feb-11,Seed,�,Yes,"ProTenders is the leading B2B platform for the Construction Industry to Connect, Find new Deals & Manage their bidding activities.",B2B,�,"$5,259,530 ",Seed,5,,1,"208,123",https://www.protenders.com/,Abu Dhabi,Abu Dhabi,
Equity Crowdfunding - Eureeca,https://www.crunchbase.com/organization/eureeca,Eureeca,Equity Crowdfunding,"$400,000 ",22-Aug-16,�,�,Yes,Eureeca is a globally regulated Equity Crowdfunding platform allowing �the crowd� to invest in SMEs alongside Angel/Institutional investors.,Crowdfunding,$10M to $50M,"$6,550,000 ",Seed,7,,�,"209,019",http://www.eureeca.com/,Dubai,Dubai,
Private Equity Round - Huda Beauty,https://www.crunchbase.com/organization/huda-beauty,Huda Beauty,Private Equity,�,14-Dec-17,Private Equity,�,Yes,One of the world's fastest-growing beauty brands.,Beauty,$1M to $10M,�,Private Equity,1,TSG Consumer Partners,1,"211,021",http://hudabeauty.com/,Dubai,Dubai,
Seed Round - Tarabut Gateway,https://www.crunchbase.com/organization/tarabut-gateway,Tarabut Gateway,Seed,"$13,000,000 ",23-Feb-21,Seed,�,Yes,MENA�s first and largest regulated Open Banking platform (AISP & PISP) that connects a regional network of banks and FinTechs via API.,Banking,$1M to $10M,"$25,000,000 ",Seed,4,Target Global,8,"211,964",https://www.tarabutgateway.com/,Dubai,Dubai,
Pre Seed Round - Digival IT Solutions,https://www.crunchbase.com/organization/digival,Digival IT Solutions,Pre-Seed,"AED2,600,000",15-Jun-20,Seed,�,Yes,AI powered & outcome driven unified digital academic management platform for colleges and universities,EdTech,�,"AED9,100,000",�,3,,�,"212,087",https://www.digi-val.com/,Dubai,Dubai,
Seed Round - ProTenders,https://www.crunchbase.com/organization/protenders,ProTenders,Seed,"$9,530 ",1-Sep-17,Seed,�,Yes,"ProTenders is the leading B2B platform for the Construction Industry to Connect, Find new Deals & Manage their bidding activities.",B2B,�,"$5,259,530 ",Seed,5,,�,"214,232",https://www.protenders.com/,Abu Dhabi,Abu Dhabi,
Series A - NOW Money,https://www.crunchbase.com/organization/now-money,NOW Money,Series A,�,1-Jul-20,Early Stage Venture,�,Yes,NOW Money uses mobile banking technology to bring accounts and remittance to the unbanked population of the Middle East.,Banking,�,"$10,872,500 ",�,5,Anthemis Group,2,"214,732",http://nowmoney.me/,Dubai,Dubai,
Seed Round - Habibi.ae,https://www.crunchbase.com/organization/habibi-ae-2,Habibi.ae,Seed,"$1,500,000 ",1-Aug-16,Seed,"$5,000,000 ",Yes,The Largest Online Department Store in the UAE,E-Commerce,�,"$1,500,000 ",Seed,1,,�,"214,995",https://www.habibi.ae/,Dubai,Dubai,
Seed Round - 1-mo,https://www.crunchbase.com/organization/1-mo,1-mo,Seed,"$560,000 ",12-Nov-18,Seed,�,Yes,"1-mo is an a site that can connect movies together. It gets information from multiple sources, sorts it out, and analyze them.",,�,"$1,210,000 ",Seed,4,FasterCapital,3,"215,375",http://1-mo.com/,Dubai,Dubai,
Seed Round - Jingle Pay,https://www.crunchbase.com/organization/jingle-pay,Jingle Pay,Seed,�,1-Jan-19,Seed,�,Yes,Jingle Pay offers social payment solutions for individuals and businesses on mobile & desktop platforms.,Financial Services,�,�,Seed,3,,�,"215,741",http://jinglepay.com/,Dubai,Dubai,
Debt Financing - ARADA,https://www.crunchbase.com/organization/arada,ARADA,Debt Financing,"AED1,000,000,000",22-May-19,�,�,No,"ARADA is dedicated to building breathtaking communities that inspire, enrich and engage their residents.",Building Material,$10M to $50M,"AED2,000,000,000",�,2,Mashreq Bank,1,"227,804",http://arada.com/,Dubai,Dubai,
Private Equity Round - CyberSec Consulting,https://www.crunchbase.com/organization/cybersec-consulting,CyberSec Consulting,Private Equity,"$500,000 ",1-Jul-19,Private Equity,�,Yes,"Cyber Security Professional Services, Consulting and Training Organiation",Consulting,�,"$500,000 ",Private Equity,1,,�,"229,482",https://cybersecit.net/,Dubai,Dubai,
Seed Round - YZ Buyer,https://www.crunchbase.com/organization/yz-buyer-9bfd,YZ Buyer,Seed,"$1,000,000 ",26-Feb-18,Seed,�,Yes,YZ Buyer: The e-commerce brand with the highest quality leather products and footwear at factory pricing. Be a YZ (wise) Buyer!,Consumer Goods,�,"$1,150,000 ",Seed,2,,1,"229,720",http://yzbuyer.com/,Dubai,Dubai,
Pre Seed Round - Seam Labs,https://www.crunchbase.com/organization/seam-labs,Seam Labs,Pre-Seed,�,1-May-19,Seed,�,Yes,"Seam Labs is a Venture Builder, focused on building impactful startups with higher & faster returns.",Information Technology,�,�,Seed,3,,�,"229,883",https://www.seamlabs.com/,Abu Dhabi,Abu Dhabi,
Convertible Note - NextMart,https://www.crunchbase.com/organization/nextmart,NextMart,Convertible Note,"$50,000 ",3-May-15,�,"$400,000 ",No,NextMart allows people to shop online in the UAE from their local supermarkets.,E-Commerce,�,"$80,000 ",Seed,2,,�,"230,222",http://www.nextmart.ae/,Dubai,Dubai,
Seed Round - Fibr Labs,https://www.crunchbase.com/organization/fibr-labs,Fibr Labs,Seed,"AED650,000",6-Sep-17,Seed,"$3,000,000 ",Yes,Fibr Labs offers an application that makes instant connections.,Apps,�,"AED650,000",Seed,1,,�,"243,359",http://www.fibrlabs.com/,Dubai,Dubai,
Venture Round - Dubai MercantileExchange,https://www.crunchbase.com/organization/dubai-mercantileexchange,Dubai MercantileExchange,Venture - Series Unknown,�,11-Aug-08,�,�,Yes,DME is the premier energy-focused commodities exchange in the East of Suez and home to the world's third crude benchmark.,Energy,�,�,�,1,,6,"243,420",http://www.dubaimerc.com/,Dubai,Dubai,
Series A - Udrive,https://www.crunchbase.com/organization/udrive-car-sharing,Udrive,Series A,"$1,000,000 ",1-Jan-18,Early Stage Venture,�,Yes,Udrive is the first pay-per-minute car sharing provider in the Middle East which offers car rental through mobile access on the street.,Apps,�,"$17,300,000 ",�,5,,�,"243,469",http://www.udrive.ae/,Dubai,Dubai,
Series A - Eat App,https://www.crunchbase.com/organization/eat,Eat App,Series A,"$5,000,000 ",12-Feb-20,Early Stage Venture,�,Yes,Restaurant Management Software and Online Restaurant Reservations,Apps,�,"$7,200,000 ",Early Stage Venture,3,500 Startups,3,"243,635",http://restaurant.eatapp.co/,Dubai,Dubai,
Series A - Almentor,https://www.crunchbase.com/organization/almentor-net,Almentor,Series A,"$4,500,000 ",7-Oct-19,Early Stage Venture,�,Yes,Almentor is a video based contentious online learning platform accessible through B2C and B2B channels.,Broadcasting,�,"$14,520,000 ",Early Stage Venture,5,Sawari Ventures,4,"243,820",https://www.almentor.net/,Dubai,Dubai,
Seed Round - Datacultr,https://www.crunchbase.com/organization/datacultr,Datacultr,Seed,�,20-Jan-20,Seed,�,Yes,"Datacultr is the Global OS for Debt Collections for High Risk Lending, reduces defaults & NPAs",Debt Collections,�,"$1,146,000 ",Seed,6,,1,"243,955",https://www.datacultr.com/,Dubai,Dubai,
Seed Round - Geek Express,https://www.crunchbase.com/organization/geek-express,Geek Express,Seed,"$520,000 ",24-Aug-20,Seed,�,Yes,"Geek Express is an Edtech platform that teaches students STEAM through a comprehensive Arabized journey of online classes, and DIY kits.",E-Learning,�,"$860,000 ",Seed,2,,3,"244,335",https://geekexpress.com/,Dubai,Dubai,
Seed Round - Melltoo,https://www.crunchbase.com/organization/melltoo,Melltoo,Seed,�,29-Jan-18,Seed,�,Yes,Melltoo is a mobile marketplace for buying and selling second hand things.,E-Commerce,$1M to $10M,"$1,205,000 ",M&A,6,,1,"271,907",http://www.melltoo.com/,Dubai,Dubai,
Grant - Wimo App,https://www.crunchbase.com/organization/wimo-app,Wimo App,Grant,�,1-May-19,�,�,No,"WIMO is a leading delivery experience management platform to track, manage, and analyze.",Software,$1M to $10M,"$500,000 ",Seed,2,,�,"272,718",https://www.wimoapp.com/,Dubai,Dubai,
Pre Seed Round - Xpence,https://www.crunchbase.com/organization/xpence-ltd,Xpence,Pre-Seed,"$1,230,000 ",1-Nov-18,Seed,�,Yes,"Xpence is the MENAP region's first smart business spend platform for freelancers, startups, SMEs, and corporates.",Banking,�,"$2,295,000 ",Seed,4,Systema,1,"279,258",https://www.xpence.co/,Dubai,Dubai,
Venture Round - Kitab Sawti,https://www.crunchbase.com/organization/kitab-sawti,Kitab Sawti,Venture - Series Unknown,"SEK10,000,000",4-Sep-18,�,�,Yes,Kitab Sawti is an Arabic audio entertainment service offering audiobooks and podcasts through mobile apps.,Apps,$1M to $10M,"$8,544,915 ",M&A,4,,1,"282,603",http://www.kitabsawti.com/,Dubai,Dubai,
Venture Round - Floranow,https://www.crunchbase.com/organization/floranow-com,Floranow,Venture - Series Unknown,�,1-Apr-20,�,�,Yes,Global online B2B marketplace connecting flower and plant growers to buyers using innovative technology and optimized cool chain solutions,B2B,�,"$7,000,000 ",�,4,Nama Ventures,1,"282,883",http://floranow.com/,Dubai,Dubai,
Venture Round - Arrow Labs,https://www.crunchbase.com/organization/arrow-labs-solutions,Arrow Labs,Venture - Series Unknown,�,3-Sep-18,�,�,Yes,Arrow Labs Solutions provides businesses with technological products and services that focus on mobility and security.,Information Technology,�,"$5,000,000 ",Early Stage Venture,3,,1,"285,728",http://www.arrowsecure.com/,Dubai,Dubai,
Corporate Round - nybl,https://www.crunchbase.com/organization/nybl,nybl,Corporate Round,�,24-Aug-21,�,�,Yes,nybl is a science-based machine learning platform that turns mountains of underutilized data into actionable intelligence.,Information Services,�,�,�,1,Commtel Networks,1,"285,954",https://nybl.ai/,Dubai,Dubai,
Grant - Dramatize,https://www.crunchbase.com/organization/dramatize,Dramatize,Grant,"$100,000 ",15-Jun-15,�,�,No,Dramatize provides viewers with an online database of Indian television programs in 5 different languages.,Freemium,$1M to $10M,"$400,000 ",Seed,2,FOUNDER.org,1,"285,967",http://www.dramatize.com/,Dubai,Dubai,
Secondary Market - Tutuka,https://www.crunchbase.com/organization/tutuka,Tutuka,Secondary Market,�,20-Aug-19,�,�,No,"Tutuka makes it easy to instantly create, issue and manage virtual or physical cards, and even easier for your customers to use them.",Software,$1M to $10M,�,M&A,1,Apis Partners,1,"286,127",http://www.tutuka.com/,Dubai,Dubai,
Seed Round - Melltoo,https://www.crunchbase.com/organization/melltoo,Melltoo,Seed,"$205,000 ",16-Mar-15,Seed,�,Yes,Melltoo is a mobile marketplace for buying and selling second hand things.,E-Commerce,$1M to $10M,"$1,205,000 ",M&A,6,,4,"286,208",http://www.melltoo.com/,Dubai,Dubai,
Grant - Podeo,https://www.crunchbase.com/organization/podeo,Podeo,Grant,�,21-Feb-18,�,�,No,"Podeo is a podcasting platform dedicated to managing, distributing, and producing audio podcasts.",Audio,Less than $1M,�,Seed,3,,�,"289,092",https://podeo.co/,Dubai,Dubai,
Series A - Zbooni,https://www.crunchbase.com/organization/zbooni,Zbooni,Series A,"$5,000,000 ",26-Jan-21,Early Stage Venture,�,Yes,"Zbooni gives your customers the power to browse, and even buy your products directly through chat.",Apps,�,"$10,600,000 ",Early Stage Venture,5,,�,"289,863",https://zbooni.com/,Dubai,Dubai,
Venture Round - MediSponsor,https://www.crunchbase.com/organization/medisponsor,MediSponsor,Venture - Series Unknown,"$50,000,000 ",25-Jun-20,�,�,Yes,MediSponsor is an IT firm that offers an easy-to-use XAAS-based innovative yet integrated healthcare cloud CRM Solution.,Cloud Computing,�,"$50,000,000 ",�,1,Fincasa Ventures,2,"302,030",https://www.medisponsor.com/,Dubai,Dubai,
Series A - iKcon,https://www.crunchbase.com/organization/ikcon,iKcon,Series A,"$20,000,000 ",28-Mar-21,Early Stage Venture,�,Yes,"iKcon is a tech-enabled cloud kitchen operator that procures, cooks, and delivers food on behalf of restaurants and brand owners.",Food and Beverage,$1M to $10M,"$25,000,000 ",M&A,2,Al Hokair Group,6,"306,585",https://www.ikcon.com/,Dubai,Dubai,
Seed Round - Hala,https://www.crunchbase.com/organization/join-hala,Hala,Seed,"$1,800,000 ",24-Feb-20,Seed,�,Yes,"Hala is building the Middle East's first full stack insurance company, with a focus on car and home insurance",Insurance,$1M to $10M,"$6,800,000 ",Early Stage Venture,3,Entr�e Capital,4,"306,671",https://www.joinhala.com/,Abu Dhabi,Abu Dhabi,
Non Equity Assistance - Ebooc,https://www.crunchbase.com/organization/ebooc,Ebooc,Non-equity Assistance,�,1-Nov-18,�,�,No,Ebooc is a blockchain based single platform for consumers juggling an array of loyalty programs.,FinTech,$1M to $10M,�,�,1,,1,"310,062",http://www.ebooc.io/,Dubai,Dubai,
Series B - Inmobiles,https://www.crunchbase.com/organization/inmobiles,Inmobiles,Series B,"$10,000,000 ",11-Apr-16,Early Stage Venture,�,Yes,Inmobiles provides information communications technology services.,Internet of Things,$10M to $50M,"$10,000,000 ",Early Stage Venture,1,Leap Ventures,1,"310,782",https://www.inmobiles.net/,Dubai,Dubai,
Seed Round - TruKKer,https://www.crunchbase.com/organization/trukker,TruKKer,Seed,"$2,700,000 ",28-Sep-18,Seed,�,Yes,TruKKer is a technology enabled truck aggregator that operates multiple truck types for multiple end markets in the Arab peninsula.,Freight Service,$1M to $10M,"$270,350,000 ",�,15,otf Jasoor Ventures,6,"311,614",http://www.trukker.com/,Abu Dhabi,Abu Dhabi,
Pre Seed Round - Xpence,https://www.crunchbase.com/organization/xpence-ltd,Xpence,Pre-Seed,�,15-Jan-19,Seed,�,Yes,"Xpence is the MENAP region's first smart business spend platform for freelancers, startups, SMEs, and corporates.",Banking,�,"$2,295,000 ",Seed,4,,�,"311,639",https://www.xpence.co/,Dubai,Dubai,
Seed Round - Brndstr,https://www.crunchbase.com/organization/brndstr,Brndstr,Seed,"$1,600,000 ",27-May-14,Seed,�,Yes,Brndstr is a global content-marketing platform that offers Real Time solutions to Brands and Agencies.,Internet,Less than $1M,"$2,000,000 ",Seed,2,,1,"312,258",http://brndstr.com/,Dubai,Dubai,
Seed Round - Storat,https://www.crunchbase.com/organization/sinbad-ae,Storat,Seed,"$385,870 ",1-Jan-18,Seed,�,Yes,"UAE online marketpace to build an online store, sell properties, advertise classifieds, jobs, and publish small business news",Advertising Platforms,$1M to $10M,"$1,285,870 ",Seed,4,,5,"312,437",https://www.storat.com/,Abu Dhabi,Abu Dhabi,
Private Equity Round - TPConnects,https://www.crunchbase.com/organization/tpconnects-2,TPConnects,Private Equity,"$2,000,000 ",22-Feb-17,Private Equity,�,Yes,TPConnects is IT Provider for Airlines and Travel Aggregator for Travel Agents.,SaaS,$1M to $10M,"$2,000,000 ",M&A,2,,1,"312,917",https://tpconnects.com/,Dubai,Dubai,
Seed Round - Jeebly,https://www.crunchbase.com/organization/jeebly,Jeebly,Seed,�,1-May-17,Seed,�,Yes,Jeebly is a highly advanced Tech driven Last Mile Delivery Company.,Artificial Intelligence,�,�,M&A,1,Axeed LLC,1,"313,123",http://www.jeebly.com/,Dubai,Dubai,
Seed Round - Mile,https://www.crunchbase.com/organization/mile-solutions,Mile,Seed,�,19-Feb-19,Seed,�,Yes,Cross Industry Delivery Management & Customer Engagement Platform,Delivery,�,�,Seed,1,Riyad TAQNIA Fund (RTF),1,"315,813",https://www.milenow.com/,Dubai,Dubai,
Angel Round - A2Zarabia.com,https://www.crunchbase.com/organization/a2zarabia-com,A2Zarabia.com,Angel,"$2,722,199 ",20-Nov-16,Seed,�,Yes,"A2Zarabia.com is the UAE's fastest-growing online ecosystem for Properties, Motors, Jobs, Deals, Events and Classifieds.",E-Commerce,�,"$2,722,199 ",Seed,1,,�,"318,791",https://a2zarabia.com/,Dubai,Dubai,
Seed Round - Eventtus,https://www.crunchbase.com/organization/eventtus,Eventtus,Seed,"$175,000 ",25-Sep-13,Seed,�,Yes,"Eventtus is an engagement platform to manage events, sell tickets and build an interactive event app in few minutes.",Events,$1M to $10M,"$2,625,000 ",M&A,6,,3,"319,734",http://www.eventtus.com/,Dubai,Dubai,
Pre Seed Round - Geek Express,https://www.crunchbase.com/organization/geek-express,Geek Express,Pre-Seed,"$340,000 ",9-Feb-19,Seed,�,Yes,"Geek Express is an Edtech platform that teaches students STEAM through a comprehensive Arabized journey of online classes, and DIY kits.",E-Learning,�,"$860,000 ",Seed,2,,�,"320,099",https://geekexpress.com/,Dubai,Dubai,
Venture Round - Conservus International,https://www.crunchbase.com/organization/conservus-international,Conservus International,Venture - Series Unknown,�,18-Feb-09,�,�,Yes,IT/Media Marketing,Advertising,�,�,�,1,,1,"322,156",http://www.conservus.ae/,Dubai,Dubai,
Seed Round - Rawa.tv,https://www.crunchbase.com/organization/rawa-tv,Rawa.tv,Seed,"$675,000 ",1-Jun-20,Seed,"$2,500,000 ",Yes,Rawa.tv is a live streaming platform dedicated to Arab gaming.,Gaming,$1M to $10M,"$835,000 ",M&A,2,,1,"322,425",https://www.rawa.tv/,Dubai,Dubai,
Seed Round - Callix,https://www.crunchbase.com/organization/callix,Callix,Seed,"$400,000 ",5-May-17,Seed,�,Yes,Callix is a Dubai-based intelligent customer happiness solutions provider that specialises in call management services and data analytics.,Analytics,�,"$400,000 ",Seed,1,ASA Ventures,1,"328,239",http://callix.ae/,Dubai,Dubai,
Seed Round - Fliptango,https://www.crunchbase.com/organization/fliptango,Fliptango,Seed,"$350,000 ",2-Oct-17,Seed,�,Yes,Fliptango is a community market place platform that connects the user with the community who share similar lifestyle choices.,Information Services,�,"$1,000,000 ",Seed,3,,�,"328,241",https://www.fliptango.com/,Dubai,Dubai,
Pre Seed Round - VOLTS Battery,https://www.crunchbase.com/organization/llc-volts-battery,VOLTS Battery,Pre-Seed,"$175,000 ",1-Nov-19,Seed,�,Yes,Smart Energy solutions for houses and villas,Electronics,�,"$1,175,000 ",Seed,2,CATALYST startup accelerator,1,"332,533",https://voltsbattery.com/,Abu Dhabi,Abu Dhabi,
Series A - EmiSwap,https://www.crunchbase.com/organization/emiswap,EmiSwap,Series A,"$1,725,000 ",16-May-21,Early Stage Venture,"$22,000,000 ",Yes,Decentralized Automated Market Making exchange with NFTs and ESW governance token,Blockchain,�,"$2,825,000 ",Early Stage Venture,3,,�,"333,091",https://about.emiswap.com/,Dubai,Dubai,
Debt Financing - AHOY Holding,https://www.crunchbase.com/organization/ahoy-holding-ltd,AHOY Holding,Debt Financing,"$299,000 ",1-Oct-18,�,"$2,500,000 ",No,"SaaS, PaaS, e-commerce solutions, logistics, lastmile, mobility, spatial planning, IoT",Delivery Service,�,"$23,749,000 ",�,6,,2,"338,123",https://www.theahoyapp.com/,Dubai,Dubai,
Angel Round - yallacompare,https://www.crunchbase.com/organization/compareit4me,yallacompare,Angel,"$300,000 ",1-Apr-14,Seed,�,Yes,yallacompare is a Middle-East-based financial comparison platform that enables its users to compare banks and financial institutions.,Finance,�,"$21,650,000 ",�,7,,1,"340,885",https://yallacompare.com/,Dubai,Dubai,
Seed Round - Sarwa,https://www.crunchbase.com/organization/sarwa-co,Sarwa,Seed,"$1,300,000 ",2-Sep-18,Seed,�,Yes,Sarwa is an online platform that makes investing in global markets simple and affordable for investors in the Middle East.,FinTech,�,"$24,900,000 ",Early Stage Venture,6,Shorooq Partners,6,"343,704",http://www.sarwa.co/,Dubai,Dubai,
